a,b,c,d,f,gpa,withdraws,drops,totalEnrollment,classesTaught,instructor.email,instructor.firstName,instructor.lastName,instructor.middleName,average.gpa
60.60606060606061,27.27272727272727,12.121212121212121,0.0,0,3.25,0.0,-1,37.0,1,,,Ortega Villa,,3.230909090909091
41.05263157894737,38.94736842105263,20.0,0.0,0,3.08,1.3333333333333333,-1,34.333333333333336,3,,,Gramacy,,3.230909090909091
30.0,20.0,40.0,10.0,0,2.58,0.0,-1,22.0,1,,,Spitzner,,3.230909090909091
56.17977528089888,35.95505617977528,5.617977528089887,2.247191011235955,0,3.4825,0.0,-1,23.5,4,,,Lemons,,3.230909090909091
40.0,60.0,0.0,0.0,0,3.39,0.0,-1,30.0,1,,,Chen,,3.230909090909091
59.09090909090909,4.545454545454546,31.818181818181817,4.545454545454546,0,3.15,2.0,-1,24.0,1,,,Ranganathan,,3.230909090909091
